
Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   1.02252
    c    v      wtot      wmax     ikmax
    1    3   0.02811   0.01750         6
    1    4   0.01889   0.01218         5
    1    5   0.00187   0.00157         3
    1    6   0.00012   0.00004         7
    1    7   0.00006   0.00003         3
    1    8   0.00003   0.00001         2
    1    9   0.00007   0.00002         4
    1   10   0.00001   0.00000         5
    1   11   0.00001   0.00000         2
    1   12   0.00002   0.00001         8
    2    1   0.47225   0.12263         8
    2    2   0.01396   0.00589         2
    2    3   0.01299   0.00952         5
    2    4   0.00044   0.00018         4
    2    5   0.00027   0.00007         4
    2    6   0.00001   0.00000         6
    2    7   0.00002   0.00001         5
    2    8   0.00010   0.00004         2
    2    9   0.00008   0.00003         4
    2   10   0.00007   0.00002         4
    2   11   0.00001   0.00000         1
    2   12   0.00001   0.00000         5
    3    1   0.00235   0.00124         5
    3    2   0.02043   0.01628         5
    3    3   0.00494   0.00258         4
    3    4   0.00957   0.00544         4
    3    5   0.00594   0.00518         3
    3    6   0.00037   0.00017         3
    3    7   0.00046   0.00023         8
    3    8   0.00002   0.00001         3
    3    9   0.00026   0.00019         1
    3   10   0.00003   0.00002         5
    3   11   0.00010   0.00009         2
    3   12   0.00003   0.00002         2
    4    1   0.01863   0.01476         5
    4    2   0.02026   0.01415         4
    4    3   0.00095   0.00073         3
    4    4   0.00020   0.00014         6
    4    5   0.00216   0.00127         3
    4    6   0.00019   0.00010         3
    4    7   0.00061   0.00028         8
    4    8   0.00020   0.00011         1
    4    9   0.00003   0.00002         1
    4   10   0.00006   0.00006         1
    4   11   0.00013   0.00010         2
    4   12   0.00008   0.00003         2
    5    1   0.00075   0.00068         3
    5    2   0.00022   0.00008         4
    5    3   0.01344   0.01227         3
    5    4   0.00219   0.00061         3
    5    5   0.00001   0.00001         3
    5    6   0.00008   0.00002         5
    5    7   0.00003   0.00001         3
    5    8   0.00003   0.00002         6
    5    9   0.00008   0.00006         1
    5   10   0.00002   0.00001         3
    5   11   0.00008   0.00007         2
