
Reading eigenvectors

Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   1.04368
    c    v      wtot      wmax     ikmax
    3    7   0.00067   0.00055         2
    3    8   0.00012   0.00012         1
    3    9   0.00000   0.00000         5
    3   10   0.00000   0.00000         5
    3   11   0.00000   0.00000         3
    3   12   0.00000   0.00000         3
    4    1   0.00624   0.00624         5
    4    2   0.00626   0.00625         5
    4    3   0.01996   0.01687         6
    4    4   0.00001   0.00000         4
    4    5   0.00000   0.00000         2
    4    6   0.00000   0.00000         7
    4    7   0.00012   0.00012         1
    4    8   0.00012   0.00012         1
    4    9   0.00000   0.00000         5
    4   10   0.00000   0.00000         6
    4   11   0.00000   0.00000         6
    4   12   0.00000   0.00000         5
    5    1   0.00000   0.00000         5
    5    2   0.00000   0.00000         8
    5    3   0.00000   0.00000         8
    5    4   0.00000   0.00000         2
    5    5   0.00000   0.00000         7
    5    6   0.00000   0.00000         8
    5    7   0.00000   0.00000         1
    5    8   0.00000   0.00000         1
    5    9   0.00000   0.00000         6
    5   10   0.00040   0.00040         8
    5   11   0.00000   0.00000         8
    5   12   0.00000   0.00000         7
    6    1   0.00000   0.00000         4
    6    2   0.00000   0.00000         8
    6    3   0.00189   0.00189         8
    6    4   0.00000   0.00000         8
    6    5   0.00000   0.00000         1
    6    6   0.00000   0.00000         1
    6    7   0.00000   0.00000         2
    6    8   0.00000   0.00000         3
    6    9   0.00000   0.00000         5
    6   10   0.00000   0.00000         8
    6   11   0.00000   0.00000         7
    6   12   0.00000   0.00000         8
    7    1   0.00000   0.00000         1
    7    2   0.00000   0.00000         7
    7    3   0.00040   0.00040         1
    7    4   0.00041   0.00040         1
    7    5   0.00000   0.00000         1
    7    6   0.00000   0.00000         8
    7    7   0.00000   0.00000         3
    7    8   0.00000   0.00000         1
    7    9   0.00000   0.00000         5
    7   10   0.00000   0.00000         7
    7   11   0.00030   0.00030         7
    7   12   0.00000   0.00000         7
    8    1   0.00000   0.00000         1
    8    2   0.00000   0.00000         6
    8    3   0.00040   0.00040         1
    8    4   0.00041   0.00041         1
    8    5   0.00000   0.00000         1
    8    6   0.00000   0.00000         7
    8    7   0.00000   0.00000         1
    8    8   0.00000   0.00000         1
    8    9   0.00000   0.00000         5
    8   10   0.00000   0.00000         8
    8   11   0.00000   0.00000         7
    8   12   0.00000   0.00000         6
    9    1   0.00000   0.00000         2
    9    2   0.00000   0.00000         8
    9    3   0.00000   0.00000         1
    9    4   0.00012   0.00012         2
    9    5   0.00000   0.00000         2
    9    6   0.00000   0.00000         5
    9    7   0.00000   0.00000         2
    9    8   0.00000   0.00000         5
    9    9   0.00000   0.00000         5
    9   10   0.00000   0.00000         5
    9   11   0.00000   0.00000         2
    9   12   0.00000   0.00000         3
   10    1   0.00000   0.00000         2
   10    2   0.00000   0.00000         8
   10    3   0.00000   0.00000         1
   10    4   0.00172   0.00172         2
   10    5   0.00000   0.00000         2
   10    6   0.00000   0.00000         2
   10    7   0.00000   0.00000         2
   10    8   0.00000   0.00000         5
   10    9   0.00000   0.00000         5
   10   10   0.00000   0.00000         8
   10   11   0.00000   0.00000         2
   10   12   0.00000   0.00000         1
   11    1   0.00000   0.00000         1
   11    2   0.00000   0.00000         7
   11    3   0.00000   0.00000         7
   11    4   0.00000   0.00000         2
   11    5   0.00000   0.00000         7
   11    6   0.00000   0.00000         4
   11    7   0.00000   0.00000         3
   11    8   0.00000   0.00000         4
