
Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   0.83056
    c    v      wtot      wmax     ikmax
    2    9   0.00004   0.00003         1
    2   10   0.00006   0.00004         2
    2   11   0.00000   0.00000         6
    2   12   0.00004   0.00003         2
    3    1   0.00440   0.00172         4
    3    2   0.00670   0.00508         5
    3    3   0.00389   0.00171         4
    3    4   0.00442   0.00325         5
    3    5   0.00008   0.00005         3
    3    6   0.00017   0.00009         3
    3    7   0.00002   0.00000         4
    3    8   0.00001   0.00000         4
    3    9   0.00003   0.00001         5
    3   10   0.00000   0.00000         6
    3   11   0.00003   0.00002         5
    3   12   0.00001   0.00001         2
    4    1   0.07345   0.02152         5
    4    2   0.00785   0.00425         4
    4    3   0.01958   0.00950         3
    4    4   0.00470   0.00188         4
    4    5   0.00052   0.00041         3
    4    6   0.00075   0.00055         3
    4    7   0.00014   0.00005         8
    4    8   0.00009   0.00005         8
    4    9   0.00003   0.00002         3
    4   10   0.00004   0.00003         1
    4   11   0.00001   0.00000         4
    4   12   0.00004   0.00002         3
    5    1   0.00158   0.00092         3
    5    2   0.00016   0.00004         2
    5    3   0.00151   0.00108         3
    5    4   0.00094   0.00033         1
    5    5   0.00015   0.00009         3
    5    6   0.00016   0.00010         3
    5    7   0.00003   0.00001         4
    5    8   0.00001   0.00000         4
    5    9   0.00011   0.00010         1
    5   10   0.00001   0.00001         2
    5   11   0.00002   0.00001         5
    5   12   0.00002   0.00001         3
    6    1   0.00039   0.00025         2
    6    2   0.00012   0.00011         2
    6    3   0.00011   0.00007         3
    6    4   0.00041   0.00023         2
    6    5   0.00006   0.00004         2
    6    6   0.00019   0.00008         2
    6    7   0.00009   0.00005         8
    6    8   0.00002   0.00001         8
    6    9   0.00003   0.00002         1
    6   10   0.00007   0.00005         2
    6   11   0.00000   0.00000         2
    6   12   0.00004   0.00003         2
    7    1   0.00055   0.00022         2
