
Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   1.02651
    c    v      wtot      wmax     ikmax
    9    8   0.00004   0.00001         4
    9    9   0.00005   0.00003         1
    9   10   0.00002   0.00001         3
    9   11   0.00001   0.00000         5
    9   12   0.00001   0.00001         2
   10    1   0.00002   0.00001         1
   10    2   0.00004   0.00001         1
   10    3   0.00021   0.00005         8
   10    4   0.00006   0.00003         1
   10    5   0.00033   0.00028         2
   10    6   0.00002   0.00001         3
   10    7   0.00004   0.00004         2
   10    8   0.00002   0.00001         5
   10    9   0.00001   0.00001         5
   10   10   0.00001   0.00000         8
   10   11   0.00006   0.00004         2
   10   12   0.00002   0.00001         2
   11    1   0.00002   0.00001         1
   11    2   0.00002   0.00001         6
   11    3   0.00007   0.00003         6
   11    4   0.00004   0.00003         6
   11    5   0.00009   0.00006         2
   11    6   0.00001   0.00000         6
   11    7   0.00001   0.00001         2
   11    8   0.00001   0.00001         1
   11    9   0.00003   0.00002         6
   11   10   0.00001   0.00000         6
   11   11   0.00002   0.00001         2
   11   12   0.00001   0.00001         2
   12    1   0.00000   0.00000         7
   12    2   0.00000   0.00000         7
   12    3   0.00000   0.00000         7
   12    4   0.00000   0.00000         7
   12    5   0.00000   0.00000         2
   12    6   0.00000   0.00000         8
   12    7   0.00000   0.00000         7
   12    8   0.00000   0.00000         8
   12    9   0.00000   0.00000         7
   12   10   0.00000   0.00000         7
   12   11   0.00000   0.00000         2
   12   12   0.00000   0.00000         7


 Special analysis for state     4   1.15691
    c    v      wtot      wmax     ikmax
    1    1   0.16875   0.04343         4
    1    2   0.07306   0.02221         2
    1    3   0.07795   0.01974         7
    1    4   0.00725   0.00212         8
    1    5   0.00738   0.00275         2
    1    6   0.00135   0.00035         6
    1    7   0.00235   0.00081         3
    1    8   0.00388   0.00126         4
    1    9   0.00143   0.00054         3
    1   10   0.00194   0.00048         6
    1   11   0.00034   0.00014         5
    1   12   0.00045   0.00013         5
    2    1   0.15757   0.05843         2
    2    2   0.03225   0.01231         4
    2    3   0.01427   0.01184         5
    2    4   0.01351   0.00458         6
    2    5   0.00156   0.00058         1
    2    6   0.00022   0.00006         8
    2    7   0.00021   0.00006         8
    2    8   0.00028   0.00009         8
    2    9   0.00049   0.00017         3
    2   10   0.00024   0.00008         3
    2   11   0.00008   0.00003         1
    2   12   0.00007   0.00002         6
    3    1   0.28531   0.09269         8
    3    2   0.03513   0.01156         2
    3    3   0.00301   0.00077         7
    3    4   0.00740   0.00336         1
    3    5   0.00552   0.00368         2
    3    6   0.00037   0.00010         2
    3    7   0.00109   0.00048         7
    3    8   0.00140   0.00062         1
    3    9   0.00089   0.00034         8
    3   10   0.00132   0.00034         2
    3   11   0.00051   0.00030         2
    3   12   0.00024   0.00006         3
    4    1   0.00874   0.00403         5
    4    2   0.00646   0.00228         5
    4    3   0.01277   0.00666         6
    4    4   0.01211   0.00492         3
    4    5   0.00286   0.00109         6
    4    6   0.00020   0.00008         3
    4    7   0.00030   0.00017         8
    4    8   0.00023   0.00008         8
    4    9   0.00021   0.00010         1
    4   10   0.00005   0.00002         2
    4   11   0.00009   0.00002         6
    4   12   0.00004   0.00003         4
    5    1   0.00382   0.00251         5
    5    2   0.00366   0.00201         5
    5    3   0.01599   0.00830         4
    5    4   0.00942   0.00717         3
