# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     717     0.00000     0.00000     0.01233   -4.385390418   -4.976443822   -0.591053405
     1     717     0.00000     0.00000     0.01370   -4.391440948   -4.989022041   -0.597581093
     1     717     0.00000     0.00000     0.01507   -4.396820728   -5.001536648   -0.604715920
     1     717     0.00000     0.00000     0.01644   -4.401439243   -5.012601509   -0.611162265
     1     717     0.00000     0.00000     0.01781   -4.405315582   -5.020797937   -0.615482354
     1     717     0.00000     0.00000     0.01918   -4.408585008   -5.025560514   -0.616975506
     1     717     0.00000     0.00000     0.02055   -4.411397864   -5.027204667   -0.615806803
     1     717     0.00000     0.00000     0.02192   -4.413895507   -5.026457625   -0.612562118
     1     717     0.00000     0.00000     0.02329   -4.416166756   -5.024025199   -0.607858444
     1     717     0.00000     0.00000     0.02466   -4.418266612   -5.020484278   -0.602217666
     1     717     0.00000     0.00000     0.02603   -4.420217568   -5.016293346   -0.596075778
     1     717     0.00000     0.00000     0.02740   -4.422009268   -5.011828653   -0.589819384
     1     717     0.00000     0.00000     0.02877   -4.423618960   -5.007429347   -0.583810387
     1     717     0.00000     0.00000     0.03014   -4.425012304   -5.003436965   -0.578424661
     1     717     0.00000     0.00000     0.03151   -4.426187959   -5.000293827   -0.574105867
     1     717     0.00000     0.00000     0.03288   -4.427319208   -4.998923917   -0.571604708
     1     717     0.00000     0.00000     0.03425   -4.429273943   -5.002052780   -0.572778837
     1     717     0.00000     0.00000     0.03562   -4.434633217   -5.013252058   -0.578618842
     1     717     0.00000     0.00000     0.03699   -4.444012788   -5.025552482   -0.581539695
     1     717     0.00000     0.00000     0.03836   -4.453555053   -5.034491266   -0.580936213
     1     717     0.00000     0.00000     0.03973   -4.459945093   -5.039486185   -0.579541091
     1     717     0.00000     0.00000     0.04110   -4.461981353   -5.040997742   -0.579016389
     1     718     0.00000     0.00000     0.00000   -4.308843817   -4.907271720   -0.598427903
     1     718     0.00000     0.00000     0.00137   -4.305465851   -4.897828845   -0.592362995
     1     718     0.00000     0.00000     0.00274   -4.298763335   -4.885767957   -0.587004622
     1     718     0.00000     0.00000     0.00411   -4.291209625   -4.875507266   -0.584297641
     1     718     0.00000     0.00000     0.00548   -4.283381206   -4.866132278   -0.582751072
     1     718     0.00000     0.00000     0.00685   -4.275453030   -4.857185890   -0.581732860
     1     718     0.00000     0.00000     0.00822   -4.267528671   -4.848475836   -0.580947165
     1     718     0.00000     0.00000     0.00959   -4.259709293   -4.839856128   -0.580146835
     1     718     0.00000     0.00000     0.01096   -4.252164293   -4.831041258   -0.578876965
     1     718     0.00000     0.00000     0.01233   -4.245327414   -4.821129518   -0.575802104
     1     718     0.00000     0.00000     0.01370   -4.240424292   -4.807241408   -0.566817115
     1     718     0.00000     0.00000     0.01507   -4.240106879   -4.790636479   -0.550529600
     1     718     0.00000     0.00000     0.01644   -4.244782721   -4.786800445   -0.542017724
     1     718     0.00000     0.00000     0.01781   -4.251898038   -4.793341061   -0.541443023
     1     718     0.00000     0.00000     0.01918   -4.260086000   -4.803842927   -0.543756927
     1     718     0.00000     0.00000     0.02055   -4.268884734   -4.816670438   -0.547785704
     1     718     0.00000     0.00000     0.02192   -4.278369420   -4.836390760   -0.558021340
     1     718     0.00000     0.00000     0.02329   -4.290618247   -4.876506618   -0.585888371
     1     718     0.00000     0.00000     0.02466   -4.305464225   -4.894162482   -0.588698257
     1     718     0.00000     0.00000     0.02603   -4.320629166   -4.908797727   -0.588168561
     1     718     0.00000     0.00000     0.02740   -4.335812009   -4.923216313   -0.587404304
     1     718     0.00000     0.00000     0.02877   -4.350915947   -4.937467832   -0.586551885
     1     718     0.00000     0.00000     0.03014   -4.365844747   -4.951399031   -0.585554284
     1     718     0.00000     0.00000     0.03151   -4.380429379   -4.964662717   -0.584233338
     1     718     0.00000     0.00000     0.03288   -4.394282854   -4.976327925   -0.582045071
     1     718     0.00000     0.00000     0.03425   -4.406240898   -4.983478132   -0.577237233
     1     718     0.00000     0.00000     0.03562   -4.413359562   -4.982060928   -0.568701366
     1     718     0.00000     0.00000     0.03699   -4.414443744   -4.978295089   -0.563851345
     1     718     0.00000     0.00000     0.03836   -4.412261594   -4.975493125   -0.563231532
     1     718     0.00000     0.00000     0.03973   -4.408689389   -4.973911918   -0.565222530
     1     718     0.00000     0.00000     0.04110   -4.406198036   -4.975116579   -0.568918543
     1     719     0.00000     0.00000     0.00000   -4.169565529   -4.673235251   -0.503669722
     1     719     0.00000     0.00000     0.00137   -4.170455302   -4.674518309   -0.504063008
     1     719     0.00000     0.00000     0.00274   -4.172968509   -4.678003455   -0.505034945
     1     719     0.00000     0.00000     0.00411   -4.176774925   -4.682989503   -0.506214578
     1     719     0.00000     0.00000     0.00548   -4.181526514   -4.689004255   -0.507477741
     1     719     0.00000     0.00000     0.00685   -4.186957447   -4.696012018   -0.509054572
     1     719     0.00000     0.00000     0.00822   -4.192868033   -4.704158209   -0.511290176
     1     719     0.00000     0.00000     0.00959   -4.199097188   -4.713571184   -0.514473996
     1     719     0.00000     0.00000     0.01096   -4.205439209   -4.724410275   -0.518971066
     1     719     0.00000     0.00000     0.01233   -4.211466252   -4.737400352   -0.525934099
     1     719     0.00000     0.00000     0.01370   -4.215993925   -4.755298504   -0.539304579
     1     719     0.00000     0.00000     0.01507   -4.216745584   -4.777551744   -0.560806160
     1     719     0.00000     0.00000     0.01644   -4.217644411   -4.800857540   -0.583213129
     1     719     0.00000     0.00000     0.01781   -4.229712650   -4.819720605   -0.590007955
     1     719     0.00000     0.00000     0.01918   -4.244258478   -4.833512912   -0.589254434
     1     719     0.00000     0.00000     0.02055   -4.259156150   -4.846286351   -0.587130201
